clase,tipo,rank,token,delta_mean_tfidf
1,errores>aciertos,1,servicios,0.056708406533917934
1,errores>aciertos,2,politicas,0.04962177818266077
1,errores>aciertos,3,estrategia,0.04140500712286317
1,errores>aciertos,4,transmision,0.035484761850778965
1,errores>aciertos,5,plazo,0.0324075368629385
1,errores>aciertos,6,demostrado,0.03212084755374585
1,errores>aciertos,7,consejos,0.0319508828417227
1,errores>aciertos,8,estudiante,0.03113063098753151
1,errores>aciertos,9,cinco anos,0.030264643351330455
1,errores>aciertos,10,fomento,0.029819408669821745
1,aciertos>errores,1,pobreza,0.07505823210803382
1,aciertos>errores,2,pobres,0.03651318321035653
1,aciertos>errores,3,hogares,0.030406816242169996
1,aciertos>errores,4,ingresos,0.02910079098661834
1,aciertos>errores,5,infantil,0.02615270476672338
1,aciertos>errores,6,privacion,0.025274429903085274
1,aciertos>errores,7,hogar,0.02217050556900223
1,aciertos>errores,8,pobreza infantil,0.020355445135854276
1,aciertos>errores,9,ciento,0.019724820525851193
1,aciertos>errores,10,crecimiento,0.01945757409046247
3,errores>aciertos,1,buen,0.05141246606586316
3,errores>aciertos,2,ninos,0.051042872173896255
3,errores>aciertos,3,hogares,0.047744650962311376
3,errores>aciertos,4,embarazo,0.04406476514381385
3,errores>aciertos,5,riqueza,0.038097740898560405
3,errores>aciertos,6,of,0.03798639149344306
3,errores>aciertos,7,drogas,0.03697999114236637
3,errores>aciertos,8,and ten,0.036794820688721246
3,errores>aciertos,9,pobres,0.03639511942537019
3,errores>aciertos,10,ten,0.036164106081627456
3,aciertos>errores,1,salud,0.04556454585273731
3,aciertos>errores,2,atencion,0.04192772999954229
3,aciertos>errores,3,servicios,0.03280725070802325
3,aciertos>errores,4,pacientes,0.021553713132618894
3,aciertos>errores,5,atencion primaria,0.01931011505959953
3,aciertos>errores,6,medicos,0.018204897665873042
3,aciertos>errores,7,nacional,0.017830008631721964
3,aciertos>errores,8,sistema,0.016315067293121818
3,aciertos>errores,9,paises,0.014714931758921109
3,aciertos>errores,10,calidad,0.014537543044722049
4,errores>aciertos,1,articulo,0.058896280902667617
4,errores>aciertos,2,minimos,0.05759093831912131
4,errores>aciertos,3,licencia,0.05569968843477805
4,errores>aciertos,4,medida,0.051473806470147314
4,errores>aciertos,5,desarrollo,0.04860121401244691
4,errores>aciertos,6,ademas,0.046550845923787595
4,errores>aciertos,7,nivel,0.04610587481511655
4,errores>aciertos,8,aprendices,0.04549325117112893
4,errores>aciertos,9,pobres,0.04476026541996219
4,errores>aciertos,10,fiscales,0.04450005805594673
4,aciertos>errores,1,estudiantes,0.054508061229417294
4,aciertos>errores,2,escuelas,0.038007804894964206
4,aciertos>errores,3,evaluacion,0.03205422567805271
4,aciertos>errores,4,aprendizaje,0.02618893562945952
4,aciertos>errores,5,superior,0.02534660291903973
4,aciertos>errores,6,docentes,0.023478826685565193
4,aciertos>errores,7,habilidades,0.02170674288087137
4,aciertos>errores,8,alumnos,0.021620881348449195
4,aciertos>errores,9,profesional,0.021358705517226326
4,aciertos>errores,10,profesores,0.020695312435144136
